id,fullName,teamName,assists,goals,pim,games,penaltyMinutes,gameWinningGoals,overTimeGoals,points
8445135,George Boucher,Ottawa Senators (1917),6,15,90,28,90,3,0,21
8445319,Earl Campbell,Ottawa Senators (1917),0,0,0,29,0,0,0,0
8445471,King Clancy,Ottawa Senators (1917),8,14,63,29,63,2,0,22
8445874,Cy Denneny,Ottawa Senators (1917),14,27,16,29,16,5,2,41
8446298,Frank Finnigan,Ottawa Senators (1917),1,1,22,29,22,0,0,2
8446616,Ed Gorman,Ottawa Senators (1917),4,11,51,28,51,2,1,15
8446629,Leth Graham,Ottawa Senators (1917),0,0,0,3,0,0,0,0
8446767,Harry Helman,Ottawa Senators (1917),0,0,0,1,0,0,0,0
8446886,Lionel Hitchman,Ottawa Senators (1917),1,3,30,30,30,0,0,4
8448011,Frank Nighbor,Ottawa Senators (1917),5,5,18,26,18,1,0,10
8449059,Alex Smith,Ottawa Senators (1917),0,0,4,7,4,0,0,0
8449077,Hooley Smith,Ottawa Senators (1917),14,10,87,30,87,4,0,24
8445471,King Clancy,Ottawa Senators (1917),8,14,63,29,63,2,0,22
8445131,Edmond Bouchard,Hamilton Tigers,2,2,14,24,14,2,0,4
8445255,Billy Burch,Hamilton Tigers,6,20,10,27,10,3,1,26
8445644,Charlie Cotch,Hamilton Tigers,0,1,0,12,0,0,0,1
8446643,Red Green,Hamilton Tigers,16,19,67,30,67,4,0,35
8446644,Shorty Green,Hamilton Tigers,9,18,73,28,73,2,0,27
8447323,Charlie Langlois,Hamilton Tigers,3,6,55,30,55,1,0,9
8447794,Alex McKinnon,Hamilton Tigers,3,8,47,29,47,1,0,11
8448212,Goldie Prodgers,Hamilton Tigers,0,0,0,1,0,0,0,0
8448246,Ken Randall,Hamilton Tigers,9,8,52,30,52,2,0,17
8448349,Mickey Roach,Hamilton Tigers,6,6,8,30,8,3,0,12
8449141,Jesse Spring,Hamilton Tigers,1,2,11,29,11,1,0,3
8449141,Jesse Spring,Hamilton Tigers,1,2,11,29,11,1,0,3
8445061,Bobby Benson,Boston Bruins,2,0,4,8,4,0,0,2
8445340,George Carroll,Boston Bruins,0,0,9,19,9,0,0,0
8445536,Lloyd Cook,Boston Bruins,0,1,0,4,0,0,0,1
