id,fullName,teamName,assists,goals,pim,games,powerPlayGoals,powerPlayPoints,penaltyMinutes,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,points
8444864,Rudy Ahlin,Chicago Blackhawks,0,0,0,1,0,0,0,0,0,0,0,0
8445233,Glenn Brydson,Chicago Blackhawks,3,1,6,19,0,1,6,0,0,0,0,4
8445262,Marty Burke,Chicago Blackhawks,5,0,39,49,0,1,39,0,0,0,0,5
8445523,Bert Connelly,Chicago Blackhawks,2,1,4,15,0,0,4,0,0,0,0,3
8445838,Cully Dahlstrom,Chicago Blackhawks,9,10,11,48,2,5,11,2,1,0,0,19
8446617,Johnny Gottselig,Chicago Blackhawks,19,13,22,48,5,12,22,3,0,1,1,32
8446695,Oscar Hanson,Chicago Blackhawks,0,0,0,8,0,0,0,0,0,0,0,0
8446853,Vic Heyliger,Chicago Blackhawks,0,0,0,7,0,0,0,0,0,0,0,0
8447024,Harold Jackson,Chicago Blackhawks,0,0,0,3,0,0,0,0,0,0,0,0
8447052,Roger Jenkins,Chicago Blackhawks,8,1,26,36,0,0,26,1,0,0,0,9
8447102,Virgil Johnson,Chicago Blackhawks,2,0,2,25,0,1,2,0,0,0,0,2
8447163,Bill Kendall,Chicago Blackhawks,1,0,2,9,0,0,2,0,0,0,0,1
8447473,Alex Levinsky,Chicago Blackhawks,2,3,18,48,0,0,18,0,0,0,0,5
8447560,Bill MacKenzie,Chicago Blackhawks,2,1,24,46,0,0,24,0,0,0,0,3
8447609,Mush March,Chicago Blackhawks,17,11,16,41,2,7,16,0,1,0,1,28
8448008,Hickey Nicholson,Chicago Blackhawks,0,1,0,2,0,0,0,0,0,0,0,1
8448080,Pete Palangio,Chicago Blackhawks,1,2,4,19,0,0,4,0,0,0,0,3
8448440,Doc Romnes,Chicago Blackhawks,22,10,4,44,3,11,4,2,0,0,0,32
8448951,Earl Seibert,Chicago Blackhawks,13,8,38,48,2,4,38,2,0,0,0,21
8449022,Jack Shill,Chicago Blackhawks,6,5,18,45,0,0,18,1,0,0,0,11
8449232,Paul Thompson,Chicago Blackhawks,22,22,14,48,7,14,14,3,1,0,0,44
8449266,Lou Trudel,Chicago Blackhawks,16,6,15,42,0,3,15,1,0,0,0,22
8449308,Carl Voss,Chicago Blackhawks,8,3,0,37,0,1,0,0,0,0,0,11
8449464,Art Wiebe,Chicago Blackhawks,2,0,24,43,0,0,24,0,0,0,0,2
8444852,Ron Hudson,Detroit Red Wings,2,5,2,32,0,0,2,0,0,0,0,7
8444987,Larry Aurie,Detroit Red Wings,9,10,19,47,0,1,19,0,0,0,0,19
8445026,Marty Barry,Detroit Red Wings,20,9,34,48,2,3,34,0,0,0,0,29
8445037,Red Beattie,Detroit Red Wings,6,4,5,44,0,0,5,1,0,0,0,10
8445075,Pete Bessone,Detroit Red Wings,1,0,6,6,0,0,6,0,0,0,0,1
8445146,Ralph Bowman,Detroit Red Wings,2,0,26,45,0,0,26,0,0,0,0,2
8445194,Mud Bruneteau,Detroit Red Wings,6,3,16,24,0,0,16,0,0,0,0,9
8445926,John Doran,Detroit Red Wings,0,0,10,7,0,0,10,0,0,0,0,0
8445940,Ken Doraty,Detroit Red Wings,1,0,2,2,0,0,2,0,0,0,0,1
8445952,Clarence Drouillard,Detroit Red Wings,1,0,0,10,0,0,0,0,0,0,0,1
8446612,Ebbie Goodfellow,Detroit Red Wings,7,0,13,30,0,1,13,0,0,0,0,7
8446924,Syd Howe,Detroit Red Wings,19,8,14,48,0,0,14,0,0,0,0,27
8447148,Pete Kelly,Detroit Red Wings,1,0,2,9,0,0,2,0,0,0,0,1
8447181,Hec Kilrea,Detroit Red Wings,9,9,10,48,0,0,10,2,0,0,0,18
8447183,Wally Kilrea,Detroit Red Wings,0,0,4,5,0,0,4,0,0,0,0,0
8447306,Joe Lamb,Detroit Red Wings,1,4,26,39,0,0,26,0,0,0,0,5
8447484,Herbie Lewis,Detroit Red Wings,18,13,12,42,1,2,12,2,0,0,0,31
8447501,Carl Liscombe,Detroit Red Wings,10,14,30,41,1,1,30,2,0,0,0,24
8447575,Howie Mackie,Detroit Red Wings,0,0,0,7,0,0,0,0,0,0,0,0
8447746,Bucko McDonald,Detroit Red Wings,7,3,14,47,0,0,14,1,0,0,0,10
8447904,Alex Motter,Detroit Red Wings,17,5,6,32,1,1,6,2,0,0,0,22
8448066,Jimmy Orlando,Detroit Red Wings,0,0,4,6,0,0,4,0,0,0,0,0
8448139,Gord Pettinger,Detroit Red Wings,13,8,14,47,1,1,14,1,1,0,0,21
8448463,Rolly Roulston,Detroit Red Wings,1,0,0,2,0,0,0,0,0,0,0,1
8449014,John Sherf,Detroit Red Wings,0,0,2,6,0,0,2,0,0,0,0,0
8449128,John Sorrell,Detroit Red Wings,9,11,9,40,0,1,9,2,0,0,0,20
8449359,Eddie Wares,Detroit Red Wings,7,9,2,21,0,1,2,2,0,0,0,16
8449666,Doug Young,Detroit Red Wings,5,3,24,48,0,0,24,0,0,0,0,8
8445134,Frank Boucher,New York Rangers,1,0,2,18,0,0,2,0,0,0,0,1
8445508,Mac Colville,New York Rangers,14,14,18,48,1,3,18,4,1,0,0,28
8445509,Neil Colville,New York Rangers,19,18,11,45,0,3,11,4,0,1,1,37
8445543,Joe Cooper,New York Rangers,2,3,56,46,0,0,56,1,0,0,0,5
8445742,Art Coulter,New York Rangers,10,5,90,43,0,0,90,2,0,1,3,15
8445908,Cecil Dillon,New York Rangers,18,21,6,48,3,6,6,3,1,0,0,39
8446766,Ott Heller,New York Rangers,14,2,68,48,0,1,68,0,0,0,0,16
8446850,Bryan Hextall Sr.,New York Rangers,4,17,6,48,1,2,6,2,1,1,1,21
8446861,Dutch Hiller,New York Rangers,1,0,2,8,0,0,2,0,0,0,0,1
8447144,Butch Keeling,New York Rangers,9,8,12,38,0,0,12,3,0,0,0,17
8447199,Bobby Kirk,New York Rangers,8,4,14,39,2,3,14,0,0,0,0,12
8447882,Larry Molyneaux,New York Rangers,0,0,2,2,0,0,2,0,0,0,0,0
8448096,Lynn Patrick,New York Rangers,19,15,24,48,4,7,24,1,0,1,1,34
8448097,Muzz Patrick,New York Rangers,2,0,0,1,0,0,0,0,0,0,0,2
8448187,Babe Pratt,New York Rangers,14,5,56,47,0,0,56,2,0,1,2,19
8449018,Alex Shibicky,New York Rangers,18,16,26,48,4,5,26,1,0,0,0,34
8449068,Clint Smith,New York Rangers,23,14,0,48,2,5,0,3,1,0,0,37
8449372,Phil Watson,New York Rangers,25,7,52,48,0,2,52,1,0,1,2,32
8445034,Bobby Bauer,Boston Bruins,13,20,9,48,1,1,9,4,0,0,1,33
8445037,Red Beattie,Boston Bruins,6,4,5,44,0,0,5,1,0,0,0,10
8445474,Dit Clapper,Boston Bruins,9,6,24,46,0,1,24,1,1,0,1,15
8445754,Bill Cowley,Boston Bruins,22,17,8,48,1,1,8,1,0,0,0,39
8445767,Jack Crawford,Boston Bruins,0,0,0,2,0,0,0,0,0,0,0,0
