id,fullName,teamName,assists,goals,pim,shots,games,powerPlayGoals,powerPlayPoints,penaltyMinutes,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,plusMinus,points
8445160,John Brenneman,Chicago Blackhawks,3,4,8,38,39,0,0,8,10.53,1,0,0,0,-11,7
8446722,Phil Esposito,Chicago Blackhawks,32,23,44,187,70,5,11,44,12.3,9,0,1,1,5,55
8446749,Bill Hay,Chicago Blackhawks,26,11,36,152,69,3,13,36,7.24,0,0,2,6,-4,37
8446784,Camille Henry,Chicago Blackhawks,18,26,20,108,70,16,22,20,24.07,5,0,0,0,-10,44
8446865,Wayne Hillman,Chicago Blackhawks,8,1,34,31,41,0,3,34,3.23,0,0,0,1,-19,9
8446967,Dennis Hull,Chicago Blackhawks,4,10,16,63,55,1,1,16,15.87,2,0,1,1,-3,14
8447045,Doug Jarrett,Chicago Blackhawks,15,2,34,51,46,0,1,34,3.92,0,0,0,2,24,17
8447580,Al MacNeil,Chicago Blackhawks,7,3,119,68,69,0,0,119,4.41,0,0,0,1,30,10
8447591,Chico Maki,Chicago Blackhawks,24,16,58,142,65,1,7,58,11.27,2,0,0,0,3,40
8447853,Larry Mickey,Chicago Blackhawks,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8447880,Doug Mohns,Chicago Blackhawks,20,13,89,108,49,2,11,89,12.04,0,0,0,0,17,33
8447892,Ken Hodge,Chicago Blackhawks,0,0,2,3,1,0,0,2,0.0,0,0,0,0,0,0
8447998,Eric Nesterenko,Chicago Blackhawks,16,14,63,86,56,2,5,63,16.28,3,0,6,7,6,30
8448108,Bobby Hull,Chicago Blackhawks,32,39,32,368,61,10,15,32,10.6,5,0,2,4,23,71
8448152,Pierre Pilote,Chicago Blackhawks,45,14,162,109,68,7,22,162,12.84,2,0,1,3,25,59
8448249,Matt Ravlich,Chicago Blackhawks,16,3,80,58,61,0,0,80,5.17,0,0,0,2,21,19
8448371,Doug Robinson,Chicago Blackhawks,23,10,10,107,61,2,5,10,9.35,0,0,0,0,1,33
8449149,Fred Stanfield,Chicago Blackhawks,10,7,14,77,58,1,1,14,9.09,2,0,1,2,8,17
8449303,Moose Vasko,Chicago Blackhawks,10,1,56,52,69,0,0,56,1.92,0,0,0,1,13,11
8449385,Kenny Wharram,Chicago Blackhawks,20,24,27,148,68,4,11,27,16.22,2,0,0,0,19,44
8449494,John McKenzie,Chicago Blackhawks,10,8,44,69,51,1,2,44,11.59,0,0,0,0,6,18
8449602,Stan Mikita,Chicago Blackhawks,59,28,154,256,70,8,28,154,10.94,6,0,0,0,29,87
8447837,Gerry Melnyk,Chicago Blackhawks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8445020,Doug Barkley,Detroit Red Wings,20,5,122,183,67,0,2,122,2.73,0,0,0,1,22,25
