['id', 'fullName', 'teamName', 'assists', 'goals', 'pim', 'shots', 'games', 'powerPlayGoals', 'powerPlayPoints', 'penaltyMinutes', 'shotPct', 'gameWinningGoals', 'overTimeGoals', 'shortHandedGoals', 'shortHandedPoints', 'plusMinus', 'points']
[8445007, 'Dave Balon', 'New York Rangers', 24, 36, 34, 176, 78, 9, 13, '34', 20.45, 7, 0, 0, 0, 14, 60]
[8445022, 'Syl Apps Jr.', 'New York Rangers', 18, 10, 32, 100, 62, 4, 10, '32', 10.0, 1, 0, 0, 0, 1, 28]
[8445084, 'Don Blackburn', 'New York Rangers', 0, 0, 0, 0, 1, 0, 0, '0', 0, 0, 0, 0, 0, 0, 0]
[8445181, 'Arnie Brown', 'New York Rangers', 18, 5, 54, 171, 75, 0, 3, '54', 2.92, 2, 0, 0, 0, -17, 23]
[8445710, 'Larry Brown', 'New York Rangers', 5, 2, 18, 108, 64, 1, 3, '18', 1.85, 1, 0, 0, 1, -7, 7]
[8445867, 'Ab Demarco Jr.', 'New York Rangers', 1, 0, 0, 2, 2, 0, 0, '0', 0.0, 0, 0, 0, 0, 1, 1]
[8446141, 'Jack Egers', 'New York Rangers', 10, 7, 50, 88, 60, 3, 5, '50', 7.95, 3, 0, 0, 0, 6, 17]
[8446187, 'Bill Fairbairn', 'New York Rangers', 23, 7, 32, 88, 56, 2, 8, '32', 7.95, 1, 0, 0, 0, -1, 30]
[8446530, 'Andre Dupont', 'New York Rangers', 2, 1, 21, 17, 7, 0, 1, '21', 5.88, 0, 0, 0, 1, 1, 3]
[8446658, 'Vic Hadfield', 'New York Rangers', 22, 22, 38, 194, 63, 8, 15, '38', 11.34, 1, 0, 0, 0, 16, 44]
[8446917, 'Tim Horton', 'New York Rangers', 18, 2, 57, 124, 78, 1, 8, '57', 1.61, 1, 0, 0, 1, 27, 20]
[8447021, 'Ted Irvine', 'New York Rangers', 18, 20, 137, 150, 76, 2, 5, '137', 13.33, 6, 0, 0, 1, 17, 38]
[8447172, 'Rod Gilbert', 'New York Rangers', 31, 30, 65, 226, 78, 8, 18, '65', 13.27, 5, 0, 0, 0, 20, 61]
[8447239, 'Jim Krulicki', 'New York Rangers', 3, 0, 6, 21, 41, 0, 2, '6', 0.0, 0, 0, 0, 1, -8, 3]
[8447540, 'Bruce MacGregor', 'New York Rangers', 29, 18, 22, 128, 74, 2, 8, '22', 14.06, 3, 0, 1, 1, 3, 47]
[8447996, 'Jim Neilson', 'New York Rangers', 24, 8, 69, 200, 77, 2, 10, '69', 4.0, 3, 0, 0, 0, 31, 32]
[8448001, 'Bob Nevin', 'New York Rangers', 25, 21, 10, 154, 78, 3, 7, '10', 13.64, 3, 0, 0, 1, 17, 46]
[8448373, 'Mike Robitaille', 'New York Rangers', 9, 5, 29, 48, 34, 3, 9, '29', 10.42, 0, 0, 0, 0, -14, 14]
[8448437, 'Dale Rolfe', 'New York Rangers', 16, 3, 71, 118, 58, 0, 2, '71', 2.54, 0, 0, 0, 1, 0, 19]
[8448788, 'Glen Sather', 'New York Rangers', 3, 10, 148, 82, 77, 1, 2, '148', 12.2, 1, 0, 1, 1, 1, 13]
[8448892, 'Don Luce', 'New York Rangers', 12, 3, 18, 74, 67, 0, 0, '18', 4.05, 0, 0, 0, 0, -7, 15]
[8448963, 'Rod Seiling', 'New York Rangers', 22, 5, 34, 136, 68, 0, 5, '34', 3.68, 3, 0, 0, 0, 31, 27]
[8449179, 'Pete Stemkowski', 'New York Rangers', 31, 18, 69, 275, 78, 5, 10, '69', 6.55, 2, 0, 0, 2, 16, 49]
[8449192, 'Ron Stewart', 'New York Rangers', 6, 5, 19, 52, 76, 0, 0, '19', 9.62, 1, 0, 2, 2, 6, 11]
