winner,awayID,homeID,wins,losses,ot,pts,ptPctg,goalsPerGame,goalsAgainstPerGame,evGGARatio,powerPlayPercentage,powerPlayGoals,powerPlayGoalsAgainst,powerPlayOpportunities,penaltyKillPercentage,shotsPerGame,shotsAllowed,winScoreFirst,winOppScoreFirst,winLeadFirstPer,winLeadSecondPer,winOutshootOpp,winOutshotByOpp,faceOffsTaken,faceOffsWon,faceOffsLost,faceOffWinPercentage,shootingPctg,savePctg,wins,losses,ot,pts,ptPctg,goalsPerGame,goalsAgainstPerGame,evGGARatio,powerPlayPercentage,powerPlayGoals,powerPlayGoalsAgainst,powerPlayOpportunities,penaltyKillPercentage,shotsPerGame,shotsAllowed,winScoreFirst,winOppScoreFirst,winLeadFirstPer,winLeadSecondPer,winOutshootOpp,winOutshotByOpp,faceOffsTaken,faceOffsWon,faceOffsLost,faceOffWinPercentage,shootingPctg,savePctg
0,15,6,54,15,13,121,73.8,3.817,2.768,1.5662,25.2,79.0,67.0,313.0,78.8,32.8415,30.9146,0.731,0.533,0.718,0.889,0.674,0.649,4927.0,2538.0,2389.0,51.5,11.6,0.91,39,30,13,91,55.5,2.39,2.329,0.951,16.6,44.0,37.0,265.0,86.4,31.6951,29.8171,0.7,0.262,0.731,0.786,0.532,0.345,4640.0,2441.0,2199.0,52.6,7.5,0.922
0,8,10,39,33,10,88,53.7,2.561,2.659,0.9041,21.8,57.0,53.0,261.0,83.0,28.6098,32.122,0.718,0.256,0.633,0.839,0.457,0.452,4597.0,2285.0,2312.0,49.7,9.0,0.917,30,38,14,74,45.1,2.561,3.207,0.9448,14.0,44.0,73.0,315.0,74.7,32.5732,29.7561,0.6,0.231,0.632,0.818,0.383,0.357,4684.0,2381.0,2303.0,50.8,7.9,0.892
1,28,21,51,20,11,113,68.9,3.134,2.549,1.2313,21.0,65.0,49.0,309.0,85.0,31.7317,31.3537,0.795,0.465,0.821,0.878,0.59,0.692,4740.0,2636.0,2104.0,55.6,9.9,0.919,43,30,9,95,57.9,2.89,2.78,1.0822,18.1,56.0,60.0,310.0,80.2,27.8902,32.061,0.65,0.405,0.758,0.805,0.5,0.527,4535.0,2165.0,2370.0,47.7,10.4,0.913
1,23,20,49,28,5,103,62.8,3.268,2.659,1.2429,20.9,68.0,59.0,325.0,81.6,30.9024,29.5,0.795,0.419,0.839,0.97,0.5,0.719,4738.0,2434.0,2304.0,51.4,10.6,0.91,40,32,10,90,54.9,2.451,2.476,0.9928,16.0,43.0,54.0,268.0,82.3,28.6585,28.9268,0.66,0.219,0.714,0.868,0.432,0.474,4661.0,2237.0,2424.0,48.0,8.6,0.914
0,13,16,32,37,13,77,47.0,2.463,2.854,0.9026,14.2,44.0,59.0,309.0,79.4,28.4268,34.1463,0.462,0.326,0.6,0.7,0.444,0.393,4658.0,2323.0,2335.0,49.9,8.7,0.916,52,22,8,112,68.3,3.195,2.476,1.2013,17.7,52.0,39.0,294.0,85.3,34.122,25.0976,0.714,0.462,0.714,0.897,0.629,0.667,4466.0,2340.0,2126.0,52.4,9.4,0.901
0,19,17,40,32,10,90,54.9,2.659,2.659,0.9865,16.9,52.0,45.0,307.0,86.8,29.8171,30.1585,0.521,0.441,0.625,0.758,0.475,0.5,4816.0,2352.0,2464.0,48.8,8.9,0.912,44,24,14,102,62.2,2.72,2.524,0.9276,19.2,59.0,43.0,307.0,83.9,33.378,29.4268,0.658,0.432,0.643,0.824,0.549,0.519,4580.0,2340.0,2240.0,51.1,8.1,0.914
0,4,12,41,35,6,88,53.7,2.829,2.707,0.9724,21.4,68.0,57.0,317.0,83.0,31.5732,28.6098,0.673,0.242,0.786,0.882,0.449,0.556,4823.0,2415.0,2408.0,50.1,9.0,0.905,35,37,10,80,48.8,2.756,3.061,0.882,16.9,56.0,62.0,332.0,80.6,29.2927,31.3902,0.61,0.244,0.778,0.818,0.389,0.477,4815.0,2318.0,2497.0,48.1,9.4,0.902
1,3,5,38,33,11,87,53.0,2.671,2.61,1.0643,18.3,55.0,50.0,301.0,84.3,29.5732,29.878,0.618,0.354,0.692,0.842,0.447,0.463,4545.0,2235.0,2310.0,49.2,9.0,0.913,47,28,7,101,61.6,3.037,2.866,1.0745,17.2,56.0,52.0,326.0,84.1,32.7805,28.6585,0.683,0.463,0.769,0.848,0.571,0.517,4754.0,2342.0,2412.0,49.3,9.3,0.9
0,16,13,52,22,8,112,68.3,3.195,2.476,1.2013,17.7,52.0,39.0,294.0,85.3,34.122,25.0976,0.714,0.462,0.714,0.897,0.629,0.667,4466.0,2340.0,2126.0,52.4,9.4,0.901,32,37,13,77,47.0,2.463,2.854,0.9026,14.2,44.0,59.0,309.0,79.4,28.4268,34.1463,0.462,0.326,0.6,0.7,0.444,0.393,4658.0,2323.0,2335.0,49.9,8.7,0.916
1,23,21,49,28,5,103,62.8,3.268,2.659,1.2429,20.9,68.0,59.0,325.0,81.6,30.9024,29.5,0.795,0.419,0.839,0.97,0.5,0.719,4738.0,2434.0,2304.0,51.4,10.6,0.91,43,30,9,95,57.9,2.89,2.78,1.0822,18.1,56.0,60.0,310.0,80.2,27.8902,32.061,0.65,0.405,0.758,0.805,0.5,0.527,4535.0,2165.0,2370.0,47.7,10.4,0.913
