@relation master_normalized

@attribute winner numeric
@attribute awayID numeric
@attribute homeID numeric
@attribute away_goalsPerGame numeric
@attribute away_goalsAgainstPerGame numeric
@attribute away_evGGARatio numeric
@attribute away_powerPlayPercentage numeric
@attribute away_penaltyKillPercentage numeric
@attribute away_shootingPctg numeric
@attribute away_savePctg numeric
@attribute away_PDO numeric
@attribute home_goalsPerGame numeric
@attribute home_goalsAgainstPerGame numeric
@attribute home_evGGARatio numeric
@attribute home_powerPlayPercentage numeric
@attribute home_penaltyKillPercentage numeric
@attribute home_shootingPctg numeric
@attribute home_savePctg numeric
@attribute home_PDO numeric

@data
0,21,25,0.803099,0.075019,0.789802,0.932331,0.475248,0.885714,0.7,1.02,0.574564,0.027842,0.620057,0.75188,0.821782,0.942857,0.733333,1.023
0,9,6,0.834087,0.197989,0.734781,0.676692,0.841584,0.828571,0.733333,1.019,0.46417,0.613302,0.795786,0.511278,0.475248,0.4,0,0.982
1,16,7,0.330536,0.584687,0.664542,0.24812,0.594059,0.428571,0.066667,0.985,0.393802,0,0.502732,0.488722,1,0.485714,1,1.015
1,23,4,0.55907,0.508894,0.7673,0.56391,0.287129,0.457143,0.066667,0.986,0.566817,0.216551,1,0.458647,0.445545,0.457143,0.566667,1.001
0,17,20,0.668819,0.169374,0.849896,0.93985,0.772277,0.371429,0.766667,1.004,0.227889,0.490333,0.444459,0.398496,0.188119,0.171429,0.266667,0.982
1,19,27,0.637831,0.103635,0.905697,0.684211,0.732673,0.514286,0.433333,0.999,0.362169,0.263728,0.705385,0.526316,0.712871,0.628571,0.9,1.017
0,18,5,0.141382,0.150812,0.328044,0.338346,0.722772,0.085714,0.966667,1,0.889606,0.679041,0.254683,0.804511,0.277228,1,0.233333,1.01
1,8,1,0.298903,0.452436,0.456035,0.488722,0.425743,0.4,0.433333,0.995,1,0.103635,0.805021,1,0.663366,0.914286,0.6,1.018
0,26,15,0.661072,0.41454,0.548907,0.736842,0.316832,0.8,0.266667,1.004,0.511298,0.254447,0.467612,0.87218,0.613861,0.485714,0.7,1.006
1,17,22,0.668819,0.169374,0.849896,0.93985,0.772277,0.371429,0.766667,1.004,0.590058,0.358082,0.781217,0.390977,0.574257,0.885714,0.333333,1.009
0,2,14,0.133635,0.791957,0.557882,0.270677,0.425743,0,0.033333,0.969,0.259522,0.905646,0.248699,0.218045,0.49505,0.514286,0.133333,0.99
0,23,13,0.55907,0.508894,0.7673,0.56391,0.287129,0.457143,0.066667,0.986,0.251775,0.584687,0.238814,0.255639,0.594059,0.285714,0.6,0.996
1,30,24,0,0.245166,0.219563,0,0.673267,0.028571,0.766667,0.992,0.157521,0.575406,0.44563,0.609023,0.376238,0.2,0.433333,0.988
0,19,28,0.637831,0.103635,0.905697,0.684211,0.732673,0.514286,0.433333,0.999,0.38541,0.075019,0.98244,0.330827,0.811881,0.4,0.833333,1.007
0,5,18,0.889606,0.679041,0.254683,0.804511,0.277228,1,0.233333,1.01,0.141382,0.150812,0.328044,0.338346,0.722772,0.085714,0.966667,1
1,26,7,0.661072,0.41454,0.548907,0.736842,0.316832,0.8,0.266667,1.004,0.393802,0,0.502732,0.488722,1,0.485714,1,1.015
1,8,10,0.298903,0.452436,0.456035,0.488722,0.425743,0.4,0.433333,0.995,0.503551,0.216551,0.916493,0.488722,0.693069,0.571429,0.733333,1.01
1,25,9,0.574564,0.027842,0.620057,0.75188,0.821782,0.942857,0.733333,1.023,0.834087,0.197989,0.734781,0.676692,0.841584,0.828571,0.733333,1.019
0,6,4,0.46417,0.613302,0.795786,0.511278,0.475248,0.4,0,0.982,0.566817,0.216551,1,0.458647,0.445545,0.457143,0.566667,1.001
