winner,awayID,homeID,away_goalsPerGame,away_goalsAgainstPerGame,away_evGGARatio,away_powerPlayPercentage,away_penaltyKillPercentage,away_shootingPctg,away_savePctg,away_PDO,home_goalsPerGame,home_goalsAgainstPerGame,home_evGGARatio,home_powerPlayPercentage,home_penaltyKillPercentage,home_shootingPctg,home_savePctg,home_PDO
0,21,25,0.803098773,0.075019335,0.789802289,0.932330827,0.475247525,0.885714286,0.7,1.02,0.574564235,0.027842227,0.620057232,0.751879699,0.821782178,0.942857143,0.733333333,1.023
0,9,6,0.834086507,0.197989172,0.734781478,0.676691729,0.841584158,0.828571429,0.733333333,1.019,0.464170433,0.613302398,0.79578564,0.511278195,0.475247525,0.4,0,0.982
1,16,7,0.33053583,0.584686775,0.664542144,0.248120301,0.594059406,0.428571429,0.066666667,0.985,0.393802453,0,0.50273153,0.488721805,1,0.485714286,1,1.015
1,23,4,0.559070368,0.508894045,0.767299688,0.563909774,0.287128713,0.457142857,0.066666667,0.986,0.566817301,0.216550657,1,0.458646617,0.445544554,0.457142857,0.566666667,1.001
0,17,20,0.668818593,0.16937355,0.849895942,0.939849624,0.772277228,0.371428571,0.766666667,1.004,0.227888961,0.49033256,0.444458897,0.398496241,0.188118812,0.171428571,0.266666667,0.982
1,19,27,0.637830859,0.103634957,0.90569719,0.684210526,0.732673267,0.514285714,0.433333333,0.999,0.362169141,0.263727765,0.705385016,0.526315789,0.712871287,0.628571429,0.9,1.017
0,18,5,0.141381536,0.150812065,0.328043704,0.338345865,0.722772277,0.085714286,0.966666667,1,0.889606198,0.67904099,0.254682622,0.804511278,0.277227723,1,0.233333333,1.01
1,8,1,0.298902518,0.452436195,0.45603538,0.488721805,0.425742574,0.4,0.433333333,0.995,1,0.103634957,0.805020812,1,0.663366337,0.914285714,0.6,1.018
0,26,15,0.661071659,0.41453983,0.548907388,0.736842105,0.316831683,0.8,0.266666667,1.004,0.511297611,0.254447022,0.467611863,0.872180451,0.613861386,0.485714286,0.7,1.006
1,17,22,0.668818593,0.16937355,0.849895942,0.939849624,0.772277228,0.371428571,0.766666667,1.004,0.590058102,0.35808198,0.781217482,0.390977444,0.574257426,0.885714286,0.333333333,1.009
0,2,14,0.133634603,0.79195669,0.557882414,0.270676692,0.425742574,0,0.033333333,0.969,0.259522272,0.905645785,0.248699272,0.218045113,0.495049505,0.514285714,0.133333333,0.99
0,23,13,0.559070368,0.508894045,0.767299688,0.563909774,0.287128713,0.457142857,0.066666667,0.986,0.251775339,0.584686775,0.238813736,0.255639098,0.594059406,0.285714286,0.6,0.996
1,30,24,0,0.24516628,0.219562955,0,0.673267327,0.028571429,0.766666667,0.992,0.157520981,0.575406032,0.445629553,0.609022556,0.376237624,0.2,0.433333333,0.988
0,19,28,0.637830859,0.103634957,0.90569719,0.684210526,0.732673267,0.514285714,0.433333333,0.999,0.385409942,0.075019335,0.982440166,0.330827068,0.811881188,0.4,0.833333333,1.007
0,5,18,0.889606198,0.67904099,0.254682622,0.804511278,0.277227723,1,0.233333333,1.01,0.141381536,0.150812065,0.328043704,0.338345865,0.722772277,0.085714286,0.966666667,1
1,26,7,0.661071659,0.41453983,0.548907388,0.736842105,0.316831683,0.8,0.266666667,1.004,0.393802453,0,0.50273153,0.488721805,1,0.485714286,1,1.015
1,8,10,0.298902518,0.452436195,0.45603538,0.488721805,0.425742574,0.4,0.433333333,0.995,0.503550678,0.216550657,0.916493236,0.488721805,0.693069307,0.571428571,0.733333333,1.01
1,25,9,0.574564235,0.027842227,0.620057232,0.751879699,0.821782178,0.942857143,0.733333333,1.023,0.834086507,0.197989172,0.734781478,0.676691729,0.841584158,0.828571429,0.733333333,1.019
0,6,4,0.464170433,0.613302398,0.79578564,0.511278195,0.475247525,0.4,0,0.982,0.566817301,0.216550657,1,0.458646617,0.445544554,0.457142857,0.566666667,1.001
0,15,12,0.511297611,0.254447022,0.467611863,0.872180451,0.613861386,0.485714286,0.7,1.006,0.346029697,0.386697602,0.50273153,0.69924812,0.910891089,0.4,0.4,0.994
0,3,11,0.645577792,1,0.53251821,0.62406015,0.059405941,0.714285714,0.033333333,0.994,0.338282763,0.989945862,0.208116545,0.308270677,0,0.285714286,0.166666667,0.983
1,30,27,0,0.24516628,0.219562955,0,0.673267327,0.028571429,0.766666667,0.992,0.362169141,0.263727765,0.705385016,0.526315789,0.712871287,0.628571429,0.9,1.017
0,16,29,0.33053583,0.584686775,0.664542144,0.248120301,0.594059406,0.428571429,0.066666667,0.985,0.173014848,0.461716937,0,0.383458647,0.277227723,0.257142857,0.666666667,0.997
0,21,22,0.803098773,0.075019335,0.789802289,0.932330827,0.475247525,0.885714286,0.7,1.02,0.590058102,0.35808198,0.781217482,0.390977444,0.574257426,0.885714286,0.333333333,1.009
0,19,24,0.637830859,0.103634957,0.90569719,0.684210526,0.732673267,0.514285714,0.433333333,0.999,0.157520981,0.575406032,0.445629553,0.609022556,0.376237624,0.2,0.433333333,0.988
0,23,14,0.559070368,0.508894045,0.767299688,0.563909774,0.287128713,0.457142857,0.066666667,0.986,0.259522272,0.905645785,0.248699272,0.218045113,0.495049505,0.514285714,0.133333333,0.99
1,13,6,0.251775339,0.584686775,0.238813736,0.255639098,0.594059406,0.285714286,0.6,0.996,0.464170433,0.613302398,0.79578564,0.511278195,0.475247525,0.4,0,0.982
0,26,29,0.661071659,0.41453983,0.548907388,0.736842105,0.316831683,0.8,0.266666667,1.004,0.173014848,0.461716937,0,0.383458647,0.277227723,0.257142857,0.666666667,0.997
0,25,10,0.574564235,0.027842227,0.620057232,0.751879699,0.821782178,0.942857143,0.733333333,1.023,0.503550678,0.216550657,0.916493236,0.488721805,0.693069307,0.571428571,0.733333333,1.01
1,25,12,0.574564235,0.027842227,0.620057232,0.751879699,0.821782178,0.942857143,0.733333333,1.023,0.346029697,0.386697602,0.50273153,0.69924812,0.910891089,0.4,0.4,0.994
0,21,20,0.803098773,0.075019335,0.789802289,0.932330827,0.475247525,0.885714286,0.7,1.02,0.227888961,0.49033256,0.444458897,0.398496241,0.188118812,0.171428571,0.266666667,0.982
1,22,8,0.590058102,0.35808198,0.781217482,0.390977444,0.574257426,0.885714286,0.333333333,1.009,0.298902518,0.452436195,0.45603538,0.488721805,0.425742574,0.4,0.433333333,0.995
1,8,3,0.298902518,0.452436195,0.45603538,0.488721805,0.425742574,0.4,0.433333333,0.995,0.645577792,1,0.53251821,0.62406015,0.059405941,0.714285714,0.033333333,0.994
0,19,26,0.637830859,0.103634957,0.90569719,0.684210526,0.732673267,0.514285714,0.433333333,0.999,0.661071659,0.41453983,0.548907388,0.736842105,0.316831683,0.8,0.266666667,1.004
1,2,10,0.133634603,0.79195669,0.557882414,0.270676692,0.425742574,0,0.033333333,0.969,0.503550678,0.216550657,0.916493236,0.488721805,0.693069307,0.571428571,0.733333333,1.01
0,15,11,0.511297611,0.254447022,0.467611863,0.872180451,0.613861386,0.485714286,0.7,1.006,0.338282763,0.989945862,0.208116545,0.308270677,0,0.285714286,0.166666667,0.983
0,22,17,0.590058102,0.35808198,0.781217482,0.390977444,0.574257426,0.885714286,0.333333333,1.009,0.668818593,0.16937355,0.849895942,0.939849624,0.772277228,0.371428571,0.766666667,1.004
0,4,30,0.566817301,0.216550657,1,0.458646617,0.445544554,0.457142857,0.566666667,1.001,0,0.24516628,0.219562955,0,0.673267327,0.028571429,0.766666667,0.992
0,6,24,0.464170433,0.613302398,0.79578564,0.511278195,0.475247525,0.4,0,0.982,0.157520981,0.575406032,0.445629553,0.609022556,0.376237624,0.2,0.433333333,0.988
1,4,25,0.566817301,0.216550657,1,0.458646617,0.445544554,0.457142857,0.566666667,1.001,0.574564235,0.027842227,0.620057232,0.751879699,0.821782178,0.942857143,0.733333333,1.023
0,29,20,0.173014848,0.461716937,0,0.383458647,0.277227723,0.257142857,0.666666667,0.997,0.227888961,0.49033256,0.444458897,0.398496241,0.188118812,0.171428571,0.266666667,0.982
0,21,23,0.803098773,0.075019335,0.789802289,0.932330827,0.475247525,0.885714286,0.7,1.02,0.559070368,0.508894045,0.767299688,0.563909774,0.287128713,0.457142857,0.066666667,0.986
0,17,16,0.668818593,0.16937355,0.849895942,0.939849624,0.772277228,0.371428571,0.766666667,1.004,0.33053583,0.584686775,0.664542144,0.248120301,0.594059406,0.428571429,0.066666667,0.985
1,27,28,0.362169141,0.263727765,0.705385016,0.526315789,0.712871287,0.628571429,0.9,1.017,0.385409942,0.075019335,0.982440166,0.330827068,0.811881188,0.4,0.833333333,1.007
1,1,9,1,0.103634957,0.805020812,1,0.663366337,0.914285714,0.6,1.018,0.834086507,0.197989172,0.734781478,0.676691729,0.841584158,0.828571429,0.733333333,1.019
1,30,19,0,0.24516628,0.219562955,0,0.673267327,0.028571429,0.766666667,0.992,0.637830859,0.103634957,0.90569719,0.684210526,0.732673267,0.514285714,0.433333333,0.999
1,15,18,0.511297611,0.254447022,0.467611863,0.872180451,0.613861386,0.485714286,0.7,1.006,0.141381536,0.150812065,0.328043704,0.338345865,0.722772277,0.085714286,0.966666667,1
1,7,22,0.393802453,0,0.50273153,0.488721805,1,0.485714286,1,1.015,0.590058102,0.35808198,0.781217482,0.390977444,0.574257426,0.885714286,0.333333333,1.009
1,14,5,0.259522272,0.905645785,0.248699272,0.218045113,0.495049505,0.514285714,0.133333333,0.99,0.889606198,0.67904099,0.254682622,0.804511278,0.277227723,1,0.233333333,1.01
0,12,13,0.346029697,0.386697602,0.50273153,0.69924812,0.910891089,0.4,0.4,0.994,0.251775339,0.584686775,0.238813736,0.255639098,0.594059406,0.285714286,0.6,0.996
1,6,26,0.464170433,0.613302398,0.79578564,0.511278195,0.475247525,0.4,0,0.982,0.661071659,0.41453983,0.548907388,0.736842105,0.316831683,0.8,0.266666667,1.004
0,9,10,0.834086507,0.197989172,0.734781478,0.676691729,0.841584158,0.828571429,0.733333333,1.019,0.503550678,0.216550657,0.916493236,0.488721805,0.693069307,0.571428571,0.733333333,1.01
1,16,8,0.33053583,0.584686775,0.664542144,0.248120301,0.594059406,0.428571429,0.066666667,0.985,0.298902518,0.452436195,0.45603538,0.488721805,0.425742574,0.4,0.433333333,0.995
0,20,2,0.227888961,0.49033256,0.444458897,0.398496241,0.188118812,0.171428571,0.266666667,0.982,0.133634603,0.79195669,0.557882414,0.270676692,0.425742574,0,0.033333333,0.969
1,15,25,0.511297611,0.254447022,0.467611863,0.872180451,0.613861386,0.485714286,0.7,1.006,0.574564235,0.027842227,0.620057232,0.751879699,0.821782178,0.942857143,0.733333333,1.023
1,12,18,0.346029697,0.386697602,0.50273153,0.69924812,0.910891089,0.4,0.4,0.994,0.141381536,0.150812065,0.328043704,0.338345865,0.722772277,0.085714286,0.966666667,1
1,29,21,0.173014848,0.461716937,0,0.383458647,0.277227723,0.257142857,0.666666667,0.997,0.803098773,0.075019335,0.789802289,0.932330827,0.475247525,0.885714286,0.7,1.02
1,7,23,0.393802453,0,0.50273153,0.488721805,1,0.485714286,1,1.015,0.559070368,0.508894045,0.767299688,0.563909774,0.287128713,0.457142857,0.066666667,0.986
