id,teamName,gamesPlayed,wins,losses,ot,pts,ptPctg,goalsPerGame,goalsAgainstPerGame,evGGARatio,powerPlayPercentage,powerPlayGoals,powerPlayGoalsAgainst,powerPlayOpportunities,penaltyKillPercentage,shotsPerGame,shotsAllowed,winScoreFirst,winOppScoreFirst,winLeadFirstPer,winLeadSecondPer,winOutshootOpp,winOutshotByOpp,faceOffsTaken,faceOffsWon,faceOffsLost,faceOffWinPercentage,shootingPctg,savePctg
16,Chicago Blackhawks,74,32,26,0,80,54.1,2.865,3.0,0.9412,0.0,37.0,37.0,0.0,0.0,29.973,31.0676,0.682,0.067,0.88,0.967,0.769,0.385,0.0,0.0,0.0,0.0,9.6,0.903
17,Detroit Red Wings,74,27,35,0,66,44.6,3.311,3.473,1.0052,0.0,43.0,53.0,0.0,0.0,33.1892,30.3378,0.607,0.217,0.813,0.864,0.615,0.136,0.0,0.0,0.0,0.0,10.0,0.886
19,St. Louis Blues,74,27,31,0,70,47.3,2.392,2.581,0.9044,0.0,38.0,39.0,0.0,0.0,30.0405,28.9865,0.656,0.143,1.0,1.0,0.679,0.25,0.0,0.0,0.0,0.0,8.0,0.911
3,New York Rangers,74,39,23,0,90,60.8,3.054,2.473,1.2977,0.0,46.0,42.0,0.0,0.0,33.3108,28.7432,0.725,0.294,0.885,0.938,0.732,0.471,0.0,0.0,0.0,0.0,9.2,0.914
4,Philadelphia Flyers,74,31,32,0,73,49.3,2.338,2.419,1.0407,0.0,33.0,49.0,0.0,0.0,25.4459,33.1892,0.634,0.152,0.792,0.962,0.909,0.429,0.0,0.0,0.0,0.0,9.2,0.927
5,Pittsburgh Penguins,74,27,34,0,67,45.3,2.635,2.919,0.8916,0.0,37.0,30.0,0.0,0.0,30.7703,30.7297,0.625,0.167,0.882,1.0,0.6,0.303,0.0,0.0,0.0,0.0,8.6,0.905
6,Boston Bruins,74,37,27,0,84,56.8,3.5,2.919,1.3,0.0,44.0,50.0,0.0,0.0,33.3378,29.4865,0.65,0.324,0.87,1.0,0.727,0.379,0.0,0.0,0.0,0.0,10.5,0.901
8,Montréal Canadiens,74,42,22,0,94,63.5,3.189,2.257,1.376,0.0,50.0,34.0,0.0,0.0,31.4054,27.0,0.696,0.357,0.871,0.974,0.696,0.529,0.0,0.0,0.0,0.0,10.2,0.916
26,Los Angeles Kings,74,31,33,0,72,48.6,2.703,3.027,0.9554,0.0,33.0,54.0,0.0,0.0,30.8784,28.2027,0.564,0.257,0.813,1.0,0.571,0.385,0.0,0.0,0.0,0.0,8.8,0.893
10,Toronto Maple Leafs,74,33,31,0,76,51.4,2.824,2.378,1.2137,0.0,33.0,28.0,0.0,0.0,32.9324,34.8108,0.674,0.129,0.889,0.9,0.679,0.313,0.0,0.0,0.0,0.0,8.6,0.932
46,Oakland Seals,74,15,42,0,47,31.8,2.068,2.959,0.6375,0.0,41.0,45.0,0.0,0.0,24.9595,31.2297,0.379,0.089,0.667,0.867,0.471,0.158,0.0,0.0,0.0,0.0,8.3,0.905
31,Minnesota North Stars,74,27,32,0,69,46.6,2.581,3.054,0.6828,0.0,55.0,29.0,0.0,0.0,28.5811,31.0405,0.679,0.174,0.944,0.962,0.696,0.286,0.0,0.0,0.0,0.0,9.0,0.902
