id,teamName,gamesPlayed,wins,losses,ot,pts,ptPctg,goalsPerGame,goalsAgainstPerGame,evGGARatio,powerPlayPercentage,powerPlayGoals,powerPlayGoalsAgainst,powerPlayOpportunities,penaltyKillPercentage,shotsPerGame,shotsAllowed,winScoreFirst,winOppScoreFirst,winLeadFirstPer,winLeadSecondPer,winOutshootOpp,winOutshotByOpp,faceOffsTaken,faceOffsWon,faceOffsLost,faceOffWinPercentage,shootingPctg,savePctg
1,New Jersey Devils,80,32,33,0,79,49.4,3.4,3.3,1.2314,19.9,69.0,80.0,347.0,79.7,31.1875,27.95,0.625,0.175,0.647,0.852,0.426,0.357,0.0,0.0,0.0,0.0,10.9,0.882
2,New York Islanders,80,25,45,0,60,37.5,2.788,3.625,1.1786,16.1,51.0,78.0,317.0,77.9,27.1,31.1875,0.514,0.156,0.565,0.731,0.333,0.288,0.0,0.0,0.0,0.0,10.3,0.884
3,New York Rangers,80,36,31,0,85,53.1,3.713,3.313,0.7616,23.6,92.0,73.0,389.0,79.8,30.55,31.875,0.61,0.282,0.636,0.771,0.676,0.3,0.0,0.0,0.0,0.0,12.2,0.896
4,Philadelphia Flyers,80,33,37,0,76,47.5,3.15,3.338,1.0,20.1,68.0,72.0,338.0,80.8,28.55,28.675,0.6,0.171,0.667,0.75,0.5,0.27,0.0,0.0,0.0,0.0,11.0,0.884
5,Pittsburgh Penguins,80,41,33,0,88,55.0,4.275,3.813,0.7468,22.9,89.0,73.0,388.0,79.2,30.2,34.0375,0.649,0.395,0.714,0.861,0.655,0.404,0.0,0.0,0.0,0.0,14.2,0.888
6,Boston Bruins,80,44,24,0,100,62.5,3.738,3.3,0.9206,21.1,74.0,64.0,351.0,82.6,31.4,28.0,0.704,0.231,0.711,0.878,0.591,0.5,0.0,0.0,0.0,0.0,11.9,0.882
7,Buffalo Sabres,80,31,30,0,81,50.6,3.65,3.475,0.738,18.2,73.0,62.0,400.0,83.1,30.125,30.4,0.513,0.268,0.708,0.767,0.417,0.368,0.0,0.0,0.0,0.0,12.1,0.886
8,Montréal Canadiens,80,39,30,0,89,55.6,3.413,3.113,1.0547,18.5,66.0,54.0,357.0,80.8,29.8125,28.95,0.692,0.293,0.655,0.966,0.538,0.417,0.0,0.0,0.0,0.0,11.4,0.892
9,Ottawa Senators,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Toronto Maple Leafs,80,23,46,0,57,35.6,3.013,3.975,1.1969,17.6,61.0,83.0,346.0,77.4,29.2875,32.1625,0.341,0.231,0.5,0.727,0.393,0.239,0.0,0.0,0.0,0.0,10.3,0.876
