@relation master_normalized_avgWin

@attribute win numeric
@attribute winAvg numeric
@attribute awayID numeric
@attribute homeID numeric
@attribute latitude numeric
@attribute longitude numeric
@attribute away_goalsPerGame numeric
@attribute away_goalsAgainstPerGame numeric
@attribute away_evGGARatio numeric
@attribute away_powerPlayPercentage numeric
@attribute away_penaltyKillPercentage numeric
@attribute away_shootingPctg numeric
@attribute away_savePctg numeric
@attribute away_PDO numeric
@attribute home_goalsPerGame numeric
@attribute home_goalsAgainstPerGame numeric
@attribute home_evGGARatio numeric
@attribute home_powerPlayPercentage numeric
@attribute home_penaltyKillPercentage numeric
@attribute home_shootingPctg numeric
@attribute home_savePctg numeric
@attribute home_PDO numeric

@data
1,0.54,2,1,39.833851,-74.871826,0.684492,1,0.383403,0.743363,0,0.774194,0.233333,0.571429,0.488414,0.418018,0.423169,0.584071,0.728814,0.516129,0.5,0.571429
1,0.568966,3,1,39.833851,-74.871826,0.325312,0.67027,0.222239,0.566372,0.694915,0.419355,0.533333,0.530612,0.488414,0.418018,0.423169,0.584071,0.728814,0.516129,0.5,0.571429
1,0.637931,4,1,39.833851,-74.871826,0.554367,0.373874,0.620648,0.522124,0.220339,0.580645,0.366667,0.530612,0.488414,0.418018,0.423169,0.584071,0.728814,0.516129,0.5,0.571429
1,0.588235,5,1,39.833851,-74.871826,0.782531,0.505405,0.358193,1,0.576271,0.612903,0.333333,0.530612,0.488414,0.418018,0.423169,0.584071,0.728814,0.516129,0.5,0.571429
1,0.5,6,1,39.833851,-74.871826,0.749554,0.099099,0.790516,0.778761,0.889831,0.709677,0.633333,0.77551,0.488414,0.418018,0.423169,0.584071,0.728814,0.516129,0.5,0.571429
1,0.633333,7,1,39.833851,-74.871826,0,0.835135,0,0.380531,0.398305,0,0.1,0,0.488414,0.418018,0.423169,0.584071,0.728814,0.516129,0.5,0.571429
1,0.580645,8,1,39.833851,-74.871826,0.097148,0.615315,0.220138,0.566372,0.076271,0,0.333333,0.142857,0.488414,0.418018,0.423169,0.584071,0.728814,0.516129,0.5,0.571429
1,0.567568,9,1,39.833851,-74.871826,0.228164,0.900901,0.137455,0.159292,0.254237,0.322581,0.066667,0.183673,0.488414,0.418018,0.423169,0.584071,0.728814,0.516129,0.5,0.571429
1,0.515152,10,1,39.833851,-74.871826,0.782531,0.308108,0.761405,0.902655,0.694915,0.806452,0.8,0.938776,0.488414,0.418018,0.423169,0.584071,0.728814,0.516129,0.5,0.571429
1,0.5,11,1,39.833851,-74.871826,0.540999,0.766284,0.194817,0.464286,0.14,0.392857,0.275,0.166667,0,0.252107,0.113385,0.107143,0.73,0,0.35,0
1,0.622222,12,1,39.833851,-74.871826,0.293226,0.56036,0.284814,0.318584,0.364407,0.129032,0,0.020408,0.488414,0.418018,0.423169,0.584071,0.728814,0.516129,0.5,0.571429
1,0.685714,13,1,39.833851,-74.871826,0.510695,0.45045,0.477041,0.362832,0.59322,0.322581,0.7,0.571429,0.488414,0.418018,0.423169,0.584071,0.728814,0.516129,0.5,0.571429
1,0.625,14,1,39.833851,-74.871826,1,0.352252,1,0.80531,0.245763,1,0.666667,0.979592,0.488414,0.418018,0.423169,0.584071,0.728814,0.516129,0.5,0.571429
1,0.575758,15,1,39.833851,-74.871826,0.630125,0.395495,0.651711,0.681416,0.601695,1,0.533333,0.897959,0.488414,0.418018,0.423169,0.584071,0.728814,0.516129,0.5,0.571429
1,0.692308,16,1,39.833851,-74.871826,0.325312,0.572072,0.339436,0.106195,0.508475,0.16129,0.433333,0.306122,0.488414,0.418018,0.423169,0.584071,0.728814,0.516129,0.5,0.571429
1,0.5,17,1,39.833851,-74.871826,0.151515,0.572072,0.315276,0.238938,0.364407,0.258065,0.333333,0.306122,0.488414,0.418018,0.423169,0.584071,0.728814,0.516129,0.5,0.571429
0,0.363636,18,1,39.833851,-74.871826,0.684492,0.022523,0.954982,0.566372,0.737288,0.709677,1,1,0.488414,0.418018,0.423169,0.584071,0.728814,0.516129,0.5,0.571429
0,0.3,19,1,39.833851,-74.871826,0.271836,0.21982,0.616597,0.053097,0.550847,0.193548,0.533333,0.387755,0.488414,0.418018,0.423169,0.584071,0.728814,0.516129,0.5,0.571429
0,0.454545,20,1,39.833851,-74.871826,0.195187,0.45045,0.381603,0.106195,0.728814,0.032258,0.4,0.204082,0.488414,0.418018,0.423169,0.584071,0.728814,0.516129,0.5,0.571429
0,0.466667,21,1,39.833851,-74.871826,0.61943,0.373874,0.614646,0.637168,0.855932,0.903226,0.7,0.938776,0.488414,0.418018,0.423169,0.584071,0.728814,0.516129,0.5,0.571429
0,0.454545,22,1,39.833851,-74.871826,0.336898,0.659459,0.37515,0,0.29661,0.225806,0.266667,0.244898,0.488414,0.418018,0.423169,0.584071,0.728814,0.516129,0.5,0.571429
1,0.5,23,1,39.833851,-74.871826,0.217469,0.627027,0.248199,0.59292,0.432203,0.354839,0.3,0.346939,0.488414,0.418018,0.423169,0.584071,0.728814,0.516129,0.5,0.571429
1,0.714286,24,1,39.833851,-74.871826,0.358289,0.077477,0.705132,0.265487,0.847458,0.516129,1,0.877551,0.488414,0.418018,0.423169,0.584071,0.728814,0.516129,0.5,0.571429
1,0.75,25,1,39.833851,-74.871826,0.358289,0.21982,0.630552,0.39823,0.644068,0.419355,0.533333,0.530612,0.488414,0.418018,0.423169,0.584071,0.728814,0.516129,0.5,0.571429
0,0.4,26,1,39.833851,-74.871826,0.423351,0,0.721188,0.495575,1,0.516129,0.9,0.816327,0.488414,0.418018,0.423169,0.584071,0.728814,0.516129,0.5,0.571429
1,0.571429,27,1,39.833851,-74.871826,0.531205,0.565866,0.436636,0.738806,0.288462,0.4375,0.529412,0.415094,0.41582,0.272577,0.359558,0.708955,1,0.625,0.382353,0.433962
0,0.416667,28,1,39.833851,-74.871826,0.532086,0.263964,0.422719,0.513274,0.983051,0.451613,0.533333,0.55102,0.488414,0.418018,0.423169,0.584071,0.728814,0.516129,0.5,0.571429
